Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Bird	Experiment	Signal Type	Stim Type	Response	Overlapping	Notes
127	Spectrogram 1	1	696.050616829	698.413740684	0.0	YKD	A	s	s			
126	Waveform 1	1	698.580015924	699.975720205	0.0	YKD	A	c				the bird something
126	Spectrogram 1	1	698.580015924	699.975720205	0.0	YKD	A	c				the bird something
128	Waveform 1	1	700.867560435	704.147717429	0.0	YKD	A	c				
128	Spectrogram 1	1	700.867560435	704.147717429	0.0	YKD	A	c				
129	Waveform 1	1	706.823237499	708.924351886	0.0	YKD	A	c				
129	Spectrogram 1	1	706.823237499	708.924351886	0.0	YKD	A	c				
130	Waveform 1	1	708.652265286	710.965002706	0.0	YKD	A	s	s			
130	Spectrogram 1	1	708.652265286	710.965002706	0.0	YKD	A	s	s			
131	Waveform 1	1	714.607942194	717.726862592	0.0	YKD	A	c				
131	Spectrogram 1	1	714.607942194	717.726862592	0.0	YKD	A	c				
133	Waveform 1	1	720.911285800	723.087979842	0.0	YKD	A	s	s			
133	Spectrogram 1	1	720.911285800	723.087979842	0.0	YKD	A	s	s			
132	Waveform 1	1	724.256945161	724.735616304	0.0	YKD	A	c				playback
132	Spectrogram 1	1	724.256945161	724.735616304	0.0	YKD	A	c				playback
134	Waveform 1	1	728.585140337	729.985883261	0.0	YKD	A	c				
134	Spectrogram 1	1	728.585140337	729.985883261	0.0	YKD	A	c				
136	Waveform 1	1	732.802485353	735.165609208	0.0	YKD	A	s	s			
136	Spectrogram 1	1	732.802485353	735.165609208	0.0	YKD	A	s	s			
135	Waveform 1	1	736.062487927	736.657047873	0.0	YKD	A	c				playback
135	Spectrogram 1	1	736.062487927	736.657047873	0.0	YKD	A	c				playback
137	Waveform 1	1	738.657389544	739.972475527	0.0	YKD	A	c				... bird
137	Spectrogram 1	1	738.657389544	739.972475527	0.0	YKD	A	c				... bird
138	Waveform 1	1	742.814270837	743.428985358	0.0	YKD	A	c				
138	Spectrogram 1	1	742.814270837	743.428985358	0.0	YKD	A	c				
139	Waveform 1	1	745.383979236	747.434707187	0.0	YKD	A	s	s	y		
